task_id,family_id,template_id,novelty_fraction,length,system,success,false_accept,unknown,precision,tokens,browser_calls,latency_ms,reused_steps,hit,verify_passed,repair_triggered,confidence,ECE_bin
task_0017,family_02,template_02,0.75,10,B-RAG-EMBED,1,0,0,1,5250,21,10270,0,0,1,0,0.5,2
task_0017,family_02,template_02,0.75,10,B-STAGEHAND-CACHE,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0017,family_02,template_02,0.75,10,B-TERX-REPLAY,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0017,family_02,template_02,0.75,10,NC1-SHUFFLED,1,0,1,0,5350,21,10270,0,0,1,0,0.0166222751707555,0
task_0017,family_02,template_02,0.75,10,NC2-RANDOM,1,0,0,1,5250,21,10270,0,1,1,1,0.8,4
task_0017,family_02,template_02,0.75,10,B-LENGTH-PROPORTIONAL,1,0,0,1,5050,21,10120,0,0,1,0,0.5,2
task_0018,family_03,template_03,0.0,11,P-SPIDER-PARAM,1,0,0,1,900,12,1590,11,1,1,0,1.0,4
task_0018,family_03,template_03,0.0,11,B-COLD,1,0,0,1,5550,23,11120,0,0,1,0,0.5,2
task_0018,family_03,template_03,0.0,11,B-INSTRUCTION,1,0,0,1,5570,23,11120,0,0,1,0,0.5,2
task_0018,family_03,template_03,0.0,11,B-RAG-EMBED,1,0,0,1,800,12,1590,11,1,1,0,0.5,2
task_0018,family_03,template_03,0.0,11,B-STAGEHAND-CACHE,1,0,0,1,600,12,1440,11,1,1,0,0.5,2
task_0018,family_03,template_03,0.0,11,B-TERX-REPLAY,1,0,0,1,50,12,1440,11,1,1,0,0.5,2
task_0018,family_03,template_03,0.0,11,NC1-SHUFFLED,1,0,0,1,900,12,1590,11,1,1,0,1.0,4
task_0018,family_03,template_03,0.0,11,NC2-RANDOM,1,0,0,1,5750,23,11270,0,1,1,1,0.8,4
task_0018,family_03,template_03,0.0,11,B-LENGTH-PROPORTIONAL,1,0,0,1,5550,23,11120,0,0,1,0,0.5,2
